Market,continent,iso_alpha,STOCK EXCHANGE,Year,ESG GUIDANCE
Colombia,South America,COL,Bolsa de Valores de Colombia,2020,Gua para la Elaboracin de Informes ASG para Emisores en Colombia
Japan,Asia,JPN,Japan Exchange Group,2020,Practical Handbook for ESG Disclosure (Also in Japanese)
Canada,North America,CAN,TMX Group Inc.,2020,A Primer for Environmental & Social Disclosure
China,Asia,CHN,HKEX,2020,How to Prepare an ESG Report: A Step-by-Step Guide to ESG Reporting
Turkey,Asia,TUR,Borsa Istanbul,2020,Sustainability Directory for Companies
UK,Europe,GBR,London Stock Exchange,2020,Revealing the full picture: Your guide to ESG Reporting
Bahrain,Bahrain,BHR,Bahrain Bourse,2021,ESG Reporting Guide
Colombia,South America,COL,Bolsa de Valores de Colombia,2021,Gua para la Elaboracin de Informes ASG para Emisores en Colombia
Japan,Asia,JPN,Japan Exchange Group,2021,Practical Handbook for ESG Disclosure (Also in Japanese)
Canada,North America,CAN,TMX Group Inc.,2021,A Primer for Environmental & Social Disclosure
China,Asia,CHN,HKEX,2021,How to Prepare an ESG Report: A Step-by-Step Guide to ESG Reporting
Turkey,Asia,TUR,Borsa Istanbul,2021,Sustainability Directory for Companies
UK,Europe,GBR,London Stock Exchange,2021,Revealing the full picture: Your guide to ESG Reporting
Bahrain,Asia,BHR,Bahrain Bourse,2022,ESG Reporting Guide
Colombia,South America,COL,Bolsa de Valores de Colombia,2022,Gua para la Elaboracin de Informes ASG para Emisores en Colombia
Japan,Asia,JPN,Japan Exchange Group,2022,Practical Handbook for ESG Disclosure (Also in Japanese)
Canada,North America,CAN,TMX Group Inc.,2022,A Primer for Environmental & Social Disclosure
China,Asia,CHN,HKEX,2022,How to Prepare an ESG Report: A Step-by-Step Guide to ESG Reporting
Turkey,Asia,TUR,Borsa Istanbul,2022,Sustainability Directory for Companies
UK,Europe,GBR,London Stock Exchange,2022,Revealing the full picture: Your guide to ESG Reporting
Hungary,Europe,HUN,Budapest Stock Exchange,2021,ESG Reporting Guide
Kenya,Africa,KEN,Nairobi Securities Exchange,2021,ESG Disclosures Guidance Manual
North Macedonia,Europe,MKD,Macedonian Stock Exchange,2021,ESG reporting guidelines
Panama,North America,PAN,Latin American Stock Exchange,2021,Guide for Reporting and Voluntary Disclosure of ESG
Poland,Europe,POL,Warsaw Stock Exchange,2021,ESG Reporting Guidelines
Saudi Arabia,Asia,SAU,Saudi Exchange,2021,ESG Disclosure Guidelines
Tunisia,Africa,TUN,Bourse des Valeurs Mobilières de Tunis,2021,TSE - ESG Disclosure Guidelines / French version here
USA,North America,USA,NYSE,2021,Best Practices for Sustainability Reporting
Chile,South America,CHL,Bolsa de Comercio de Santiago,2021,Gua De Reporte De Sostenibilidad (in Spanish)
Kuwait,Asia,KWT,Boursa Kuwait,2021,Sustainability Disclosure Guide
Kuwait,Asia,KWT,Boursa Kuwait,2021,Sustainability Disclosure Guide
Hungary,Europe,HUN,Budapest Stock Exchange,2022,ESG Reporting Guide
Kenya,Africa,KEN,Nairobi Securities Exchange,2022,ESG Disclosures Guidance Manual
North Macedonia,Europe,MKD,Macedonian Stock Exchange,2022,ESG reporting guidelines
Panama,North America,PAN,Latin American Stock Exchange,2022,Guide for Reporting and Voluntary Disclosure of ESG
Poland,Europe,POL,Warsaw Stock Exchange,2022,ESG Reporting Guidelines
Saudi Arabia,Asia,SAU,Saudi Exchange,2022,ESG Disclosure Guidelines
Tunisia,Africa,TUN,Bourse des Valeurs Mobilières de Tunis,2022,TSE - ESG Disclosure Guidelines / French version here
USA,North America,USA,NYSE,2022,Best Practices for Sustainability Reporting
Chile,South America,CHL,Bolsa de Comercio de Santiago,2022,Gua De Reporte De Sostenibilidad (in Spanish)
Kuwait,Asia,KWT,Boursa Kuwait,2022,Sustainability Disclosure Guide
Kuwait,Asia,KWT,Boursa Kuwait,2022,Sustainability Disclosure Guide
Ghana,Africa,GHA,Ghana Stock Exchange,2022,ESG Disclosures Guidance Manual
India,Asia,IND,National Stock Exchange of India,2022,NSE-SES Integrated Guide to Business Responsibility & Sustainability Report (BRSR)
Romania,Europe,ROU,Bucharest Stock Exchange,2022,ESG Disclosure Guidelines
South Africa,Africa,ZAF,Johannesburg Stock Exchange,2022,JSE Sustainability Disclosure Guidance
Switzerland,Europe,CHE,SIX Swiss Exchange,2022,Investor Relations Handbook
Belgium,Europe,BEL,Euronext Brussels,2022,ESG Reporting Guide - Target 1.5°C
France,Europe,FRA,Euronext Paris,2022,ESG Reporting Guide - Target 1.5°C
